,open,high,low,close,volume
2024-06-20,182.9100,186.5100,182.7200,186.1000,44726779
2024-06-21,187.8000,189.2750,185.8600,189.0800,72931754
2024-06-24,189.3300,191.0000,185.3300,185.5700,50610379
2024-06-25,186.8100,188.8400,185.4200,186.3400,45898475
2024-06-26,186.9200,194.8000,186.2600,193.6100,65103893
2024-06-27,195.0050,199.8400,194.2000,197.8500,74397491
2024-06-28,197.7300,198.8500,192.5000,193.2500,76930192
2024-07-01,193.4900,198.2957,192.8200,197.2000,41192011
2024-07-02,197.2800,200.4300,195.9300,200.0000,45600013
2024-07-03,199.9400,200.0290,196.7601,197.5900,31597926
2024-07-05,198.6500,200.5500,198.1700,200.0000,39858885
2024-07-08,200.0400,201.2000,197.9600,199.2900,34767261
2024-07-09,199.4000,200.5700,199.0450,199.3400,32756736
2024-07-10,199.9950,200.1100,197.6900,199.7900,32883753
2024-07-11,200.0900,200.2699,192.8600,195.0500,44565041
2024-07-12,194.8000,196.4700,193.8301,194.4900,30598525
2024-07-15,194.5600,196.1900,190.8300,192.7200,40683227
2024-07-16,195.5900,196.6200,192.2400,193.0200,33994714
2024-07-17,191.3500,191.5800,185.9900,187.9300,48076139
2024-07-18,189.5900,189.6800,181.4480,183.7500,51043626
2024-07-19,181.1400,184.9300,180.1100,183.1300,43081829
2024-07-22,185.0000,185.0600,182.4800,182.5500,39931923
2024-07-23,184.1000,189.3900,183.5600,186.4100,47537670
2024-07-24,183.2000,185.4500,180.4100,180.8300,41532360
2024-07-25,182.9100,183.8958,176.8000,179.8500,44464163
2024-07-26,180.3900,183.1900,180.2400,182.5000,29505964
2024-07-29,183.8400,184.7500,182.3800,183.2000,33270123
2024-07-30,184.7200,185.8600,179.3800,181.7100,39508574
2024-07-31,185.0500,187.9400,184.4600,186.9800,41667326
2024-08-01,189.2850,190.6000,181.8700,184.0700,70435635
2024-08-02,166.7500,168.7700,160.5500,167.9000,141448365
2024-08-05,154.2100,162.9600,151.6100,161.0200,83149437
2024-08-06,161.7100,165.0800,158.5404,161.9300,59950830
2024-08-07,166.5500,167.5800,161.4300,162.7700,48408240
2024-08-08,165.1650,166.6899,162.5500,165.8000,44616206
2024-08-09,166.4000,168.5500,165.8500,166.9400,36401049
2024-08-12,168.1400,168.5500,166.1101,166.8000,30072788
2024-08-13,167.8100,171.0400,167.1000,170.2300,39237915
2024-08-14,172.1100,172.2800,168.8600,170.1000,28843804
2024-08-15,174.8600,177.9100,173.9900,177.5900,51698513
2024-08-16,177.0400,178.3400,176.2601,177.0600,31489175
2024-08-19,177.6400,178.3000,176.1600,178.2200,31129807
2024-08-20,177.9200,179.0100,177.4308,178.8800,26255204
