,open,high,low,close,volume
2025-02-11,231.9200,233.4400,230.1300,232.7600,23713726
2025-02-12,230.4600,231.1800,228.1600,228.9300,32285249
2025-02-13,228.8500,230.4200,227.5200,230.3700,31346512
2025-02-14,229.2000,229.8900,227.2300,228.6800,27031084
2025-02-18,228.8200,229.3000,223.7200,226.6500,42975133
2025-02-19,225.5200,226.8300,223.7100,226.6300,28566709
2025-02-20,224.7750,225.1300,221.8100,222.8800,30001665
2025-02-21,223.2800,223.3100,214.7400,216.5800,55323850
2025-02-24,217.4500,217.7150,212.4200,212.7100,42387585
2025-02-25,211.6300,213.3400,204.1600,212.8000,58957977
2025-02-26,214.9400,218.1600,213.0900,214.3500,39120603
2025-02-27,218.3500,219.9700,208.3700,208.7400,40548571
2025-02-28,208.6500,212.6200,206.9900,212.2800,51771737
2025-03-03,213.3520,214.0100,202.5500,205.0200,42948447
2025-03-04,200.1100,206.8000,197.4320,203.8000,60853084
2025-03-05,204.8000,209.9800,203.2600,208.3600,38610085
2025-03-06,204.4000,205.7700,198.3015,200.7000,49863755
2025-03-07,199.4900,202.2653,192.5300,199.2500,59802821
2025-03-10,195.6000,196.7300,190.8500,194.5400,61829231
2025-03-11,193.9000,200.1800,193.4000,196.5900,54002880
2025-03-12,200.7200,201.5200,195.2900,198.8900,43679284
2025-03-13,198.1650,198.8799,191.8200,193.8900,41270761
2025-03-14,197.4100,198.6500,195.3200,197.9500,38096663
2025-03-17,198.7700,199.0000,194.3247,195.7400,47341752
2025-03-18,192.5200,194.0000,189.3800,192.8200,40414867
2025-03-19,193.3800,195.9650,191.9600,195.5400,39442878
2025-03-20,193.0700,199.3200,192.3000,194.9500,38921113
2025-03-21,192.9000,196.9900,192.5200,196.2100,60056917
2025-03-24,200.0000,203.6400,199.9500,203.2600,41625365
2025-03-25,203.5950,206.2100,203.2200,205.7100,31171161
2025-03-26,205.8350,206.0100,199.9250,201.1300,32990973
2025-03-27,200.8900,203.7900,199.2821,201.3600,27317661
2025-03-28,198.4200,199.2600,191.8810,192.7200,52548226
2025-03-31,188.1900,191.3300,184.4000,190.2600,63547558
2025-04-01,187.8600,193.9300,187.2000,192.1700,41267315
2025-04-02,187.6600,198.3400,187.6600,196.0100,53679198
2025-04-03,182.9950,184.1300,176.9200,178.4100,95553617
2025-04-04,167.1450,178.1436,166.0000,171.0000,123159359
2025-04-07,162.0000,183.4099,161.3800,175.2600,109327115
2025-04-08,185.2300,185.9000,168.5700,170.6600,87710360
2025-04-09,172.1150,192.6500,169.9300,191.1000,116804328
2025-04-10,185.4400,186.8692,175.8518,181.2200,68302045
2025-04-11,179.9300,185.8600,178.0000,184.8700,50594339
2025-04-14,186.8400,187.4400,179.2300,182.1200,48002540
2025-04-15,181.4100,182.3500,177.9331,179.5900,43641952
2025-04-16,176.2900,179.1046,171.4100,174.3300,51875316
2025-04-17,176.0000,176.2100,172.0000,172.6100,44726453
2025-04-21,169.6000,169.6000,165.2850,167.3200,48126111
2025-04-22,169.8450,176.7800,169.3500,173.1800,56607202
2025-04-23,183.4500,187.3800,180.1900,180.6000,63470149
2025-04-24,180.9150,186.7400,180.1800,186.5400,43763196
2025-04-25,187.6200,189.9400,185.4900,188.9900,36414330
2025-04-28,190.1050,190.2200,184.8850,187.7000,33224732
2025-04-29,183.9900,188.0158,183.6800,187.3900,41667255
2025-04-30,182.1700,185.0500,178.8500,184.4200,55176543
2025-05-01,190.6300,191.8071,187.5000,190.2000,74265963
2025-05-02,191.4350,192.8800,186.4000,189.9800,77903487
2025-05-05,186.5100,188.1800,185.5300,186.3500,35217469
2025-05-06,184.5700,187.9300,183.8500,185.0100,29314055
2025-05-07,185.5600,190.9900,185.0100,188.7100,44002926
2025-05-08,191.4300,194.3300,188.8200,192.0800,41043620
2025-05-09,193.3750,194.6900,191.1600,193.0600,29663143
2025-05-12,210.7100,211.6600,205.7500,208.6400,75205042
2025-05-13,211.0800,214.8400,210.1000,211.3700,56193682
2025-05-14,211.4500,211.9300,208.8500,210.2500,38492128
2025-05-15,206.4500,206.8800,202.6730,205.1700,64347317
2025-05-16,206.8500,206.8500,204.3740,205.5900,43318478
2025-05-19,201.6450,206.6200,201.2600,206.1600,34314810
2025-05-20,204.6280,205.5899,202.6500,204.0700,29470373
2025-05-21,201.6100,203.4550,200.0600,201.1200,42460924
2025-05-22,201.3800,205.7600,200.1600,203.1000,38938882
2025-05-23,198.9000,202.3700,197.8500,200.9900,33393545
2025-05-27,203.0850,206.6900,202.1900,206.0200,34892044
2025-05-28,205.9150,207.6600,204.4100,204.7200,28549753
2025-05-29,208.0250,208.8100,204.2300,205.7000,34700005
2025-05-30,204.8400,205.9900,201.6950,205.0100,51679406
2025-06-02,204.9800,207.0000,202.6800,206.6500,29113319
2025-06-03,207.1050,208.9469,205.0300,205.7100,33139121
2025-06-04,206.5500,208.1800,205.1800,207.2300,29915592
2025-06-05,209.5500,212.8100,207.5600,207.9100,51979243
2025-06-06,212.4000,213.8699,210.5000,213.5700,39832500
2025-06-09,214.7500,217.8500,212.8800,216.9800,38102502
2025-06-10,216.7800,217.6900,214.1500,217.6100,31303317
2025-06-11,217.4100,218.4000,212.8900,213.2000,39325981
2025-06-12,211.7800,213.5800,211.3300,213.2400,27639991
2025-06-13,209.9600,214.0500,209.6200,212.1000,29337763
2025-06-16,212.3100,217.0600,211.6000,216.1000,33284158
2025-06-17,215.1950,217.4100,214.5600,214.8200,32086262
2025-06-18,215.0900,217.9600,212.3400,212.5200,44360509
2025-06-20,214.6800,214.8900,208.2709,209.6900,75350733
2025-06-23,209.7900,210.3900,207.3101,208.4700,37311725
