,open,high,low,close,volume
2025-02-11,185.0300,186.9400,184.2800,185.3200,21239519
2025-02-12,183.2200,185.1100,181.8300,183.6100,22072559
2025-02-13,184.3200,186.2800,183.1400,186.1400,21402523
2025-02-14,185.0550,186.4000,184.3200,185.2300,20448437
2025-02-18,185.6000,185.9600,181.7401,183.7700,29916675
2025-02-19,184.0700,185.4600,183.5900,185.2700,19549396
2025-02-20,184.8000,185.3100,182.7200,184.5600,20441462
2025-02-21,185.1500,185.3400,179.0800,179.6600,35199239
2025-02-24,181.9900,183.1200,178.8850,179.2500,29854206
2025-02-25,178.0400,178.7400,174.6939,175.4200,41913411
2025-02-26,175.0700,176.0800,171.5807,172.7300,35431268
2025-02-27,173.9900,174.5600,167.9400,168.5000,39991015
2025-02-28,168.6800,170.6100,166.7700,170.2800,48130565
2025-03-03,171.9250,173.3700,165.9300,167.0100,40770451
2025-03-04,166.2400,173.2946,165.8000,170.9200,45387996
2025-03-05,170.5200,173.7800,169.0600,173.0200,30954922
2025-03-06,170.5300,174.8100,170.5000,172.3500,28301953
2025-03-07,171.2600,174.9700,170.2700,173.8600,27385813
2025-03-10,168.2600,168.4600,163.6900,165.8700,43377356
2025-03-11,164.9100,166.7500,161.3700,164.0400,39587414
2025-03-12,166.5800,167.6399,163.5300,167.1100,28372396
2025-03-13,166.0350,166.1300,162.1100,162.7600,31756214
2025-03-14,163.2700,166.4900,162.4500,165.4900,31995894
2025-03-17,165.0300,166.3000,163.6700,164.2900,31184335
2025-03-18,163.6750,164.2500,156.7200,160.6700,42074751
2025-03-19,161.7600,165.8700,161.0000,163.8900,34275582
2025-03-20,161.5700,164.8900,160.9600,162.8000,28138464
2025-03-21,161.2050,164.2400,160.8901,163.9900,36625764
2025-03-24,167.0650,168.3200,165.1400,167.6800,30879129
2025-03-25,168.9800,170.6300,168.3150,170.5600,24174373
2025-03-26,169.0000,169.6100,164.8400,165.0600,28939326
2025-03-27,164.6300,165.4200,162.0000,162.2400,24508273
2025-03-28,160.4900,161.8200,153.6300,154.3300,48669335
2025-03-31,153.1100,155.5400,150.6620,154.6400,54603464
2025-04-01,153.6200,158.1000,153.6200,157.0700,30672899
2025-04-02,155.1500,158.4052,154.7000,157.0400,25041730
2025-04-03,151.1100,152.7799,150.3900,150.7200,46883371
2025-04-04,148.0100,151.0700,145.3800,145.6000,62259539
2025-04-07,141.5500,152.8500,140.5300,146.7500,76794136
2025-04-08,151.2200,152.2400,143.0300,144.7000,52200208
2025-04-09,144.4150,159.5500,143.9050,158.7100,70406232
2025-04-10,156.5400,157.7200,149.9300,152.8200,48021972
2025-04-11,152.9000,157.6700,152.8200,157.1400,33636239
2025-04-14,159.9950,161.7200,157.5600,159.0700,30332957
2025-04-15,159.1250,159.6500,155.2100,156.3100,27551534
2025-04-16,153.1000,155.8900,151.5100,153.3300,28187421
2025-04-17,154.2900,154.6800,148.5000,151.1600,33046576
2025-04-21,148.8800,148.9450,146.1000,147.6700,26049115
2025-04-22,148.8900,152.1900,148.5400,151.4700,26971774
2025-04-23,155.6100,157.5250,153.8100,155.3500,31128833
2025-04-24,156.1500,159.5900,155.7900,159.2800,45893951
2025-04-25,165.0700,166.1000,161.0400,161.9600,56033995
2025-04-28,162.4250,163.1500,158.6000,160.6100,29745782
2025-04-29,160.3250,160.7400,157.5200,160.1600,26808958
2025-04-30,157.9750,159.2700,155.4000,158.8000,34981059
2025-05-01,160.4500,161.9500,158.9100,161.3000,30203248
2025-05-02,163.4050,164.9700,161.8700,164.0300,25715005
2025-05-05,163.0000,165.3900,162.7200,164.2100,21341814
2025-05-06,162.1700,164.8000,161.1900,163.2300,21277210
2025-05-07,164.0800,165.0000,147.8400,151.3800,127747554
2025-05-08,155.0000,155.9300,152.9000,154.2800,57498692
2025-05-09,154.1700,155.0500,152.2000,152.7500,32435281
2025-05-12,157.4850,159.1000,156.2500,158.4600,44138818
2025-05-13,158.7900,160.5700,156.1600,159.5300,42382126
2025-05-14,159.9600,167.0000,159.6100,165.3700,48755869
2025-05-15,165.8400,166.2050,162.3732,163.9600,33146669
2025-05-16,167.7250,169.3500,165.6200,166.1900,42846925
2025-05-19,164.5100,166.6400,164.2200,166.5400,30426097
2025-05-20,166.4300,168.5000,162.9000,163.9800,46607656
2025-05-21,163.6900,173.1400,163.5600,168.5600,73415956
2025-05-22,171.8500,176.7700,170.7100,170.8700,74864418
2025-05-23,169.0550,169.9600,167.8900,168.4700,35211439
2025-05-27,170.1600,173.1700,170.0000,172.9000,37995670
2025-05-28,173.1600,175.2650,171.9107,172.3600,34783997
2025-05-29,174.0000,174.4193,170.6300,171.8600,29373803
2025-05-30,171.3500,172.2050,167.4400,171.7400,52639911
2025-06-02,167.8400,169.8700,167.3900,169.0300,38612272
2025-06-03,167.4900,168.4750,165.2800,166.1800,45084903
2025-06-04,166.7350,168.2150,166.3600,168.0500,26900838
2025-06-05,170.3400,170.9300,167.5900,168.2100,36444564
2025-06-06,170.8300,174.5000,170.8300,173.6800,35731832
2025-06-09,174.5400,176.4700,174.3700,176.0900,28935906
2025-06-10,176.2000,181.1050,174.9100,178.6000,61766121
2025-06-11,179.7700,180.3700,176.7500,177.3500,31646757
2025-06-12,176.1800,176.7200,174.7450,175.7000,20941873
2025-06-13,172.4400,177.1300,172.3850,174.6700,27663107
2025-06-16,174.7300,176.9400,174.6500,176.7700,27389208
2025-06-17,175.7000,177.3648,174.5800,175.9500,24973043
2025-06-18,176.0100,176.5600,173.2000,173.3200,28707524
2025-06-20,173.9450,174.3400,165.4600,166.6400,75659917
2025-06-23,166.2700,167.3400,162.0000,165.1900,57670985
2025-06-24,166.9200,168.2200,166.1300,166.7700,40524312
2025-06-25,167.6300,172.3600,167.5500,170.6800,35478989
2025-06-26,172.4300,173.6900,169.9400,173.5400,31796690
2025-06-27,173.5400,178.6800,171.7300,178.5300,108140200
2025-06-30,180.7800,181.2300,174.5800,176.2300,63378856
2025-07-01,175.7350,176.0900,173.5300,175.8400,35904526
2025-07-02,175.5400,178.8600,175.0700,178.6400,29128947
2025-07-03,178.5000,179.6700,177.0500,179.5300,21689729
2025-07-07,179.0600,179.2970,175.6800,176.7900,34175648
