,open,high,low,close,volume
2025-02-11,713.3200,723.6600,710.0400,719.8000,12997959
2025-02-12,715.3000,727.1000,712.6000,725.3800,12016517
2025-02-13,721.5197,729.0000,718.0400,728.5600,12569064
2025-02-14,726.1400,740.9100,725.6200,736.6700,16901249
2025-02-18,736.0000,737.0000,706.4400,716.3700,21938703
2025-02-19,704.0950,707.0000,695.3900,703.7700,17535480
2025-02-20,697.2750,705.6300,693.6400,694.8400,12587408
2025-02-21,696.5800,703.8700,682.3600,683.5500,15660355
2025-02-24,686.2800,687.2700,662.4500,668.1300,15676994
2025-02-25,665.9720,668.0000,641.8600,657.5000,20579662
2025-02-26,659.6500,683.0078,658.0000,673.7000,14488705
2025-02-27,682.4500,688.6469,657.5700,658.2400,12500013
2025-02-28,658.0400,669.6300,642.6017,668.2000,17534168
2025-03-03,673.6750,681.2500,650.8439,655.0500,10843763
2025-03-04,645.5100,649.7500,623.6500,640.0000,21495208
2025-03-05,641.0000,659.5000,637.6600,656.4700,13770026
2025-03-06,648.0000,650.5625,624.1100,627.9300,13446454
2025-03-07,625.3700,634.7900,600.6100,625.6600,21375671
2025-03-10,608.0700,610.1100,586.8700,597.9900,21395988
2025-03-11,595.0550,614.9340,593.3300,605.7100,17401469
2025-03-12,629.9000,633.3300,609.3500,619.5600,15746966
2025-03-13,620.2450,620.5000,586.5100,590.6400,16480324
2025-03-14,602.8050,608.8600,594.7800,607.6000,12364505
2025-03-17,607.4600,613.1000,598.0000,604.9000,15473909
2025-03-18,600.0500,600.2500,574.6600,582.3600,20297708
2025-03-19,584.2800,592.3223,574.7700,584.0600,20537498
2025-03-20,582.7550,610.2000,579.5100,586.0000,24336505
2025-03-21,583.4250,597.5450,580.9500,596.2500,25015864
2025-03-24,614.9700,622.5400,612.2001,618.8500,15741274
2025-03-25,626.7600,633.8800,621.1800,626.3100,15312540
2025-03-26,624.8900,626.7499,606.6100,610.9800,12661891
2025-03-27,602.0000,614.2500,600.1000,602.5800,10436524
2025-03-28,600.3100,601.7500,573.9200,576.7400,17602823
2025-03-31,563.5000,578.7000,553.3000,576.3600,21124677
2025-04-01,570.8400,589.9100,570.0000,586.0000,12836574
2025-04-02,574.9100,592.6600,573.3600,583.9300,13470778
2025-04-03,546.2200,552.5596,530.3000,531.6200,34777460
2025-04-04,506.6200,518.0000,494.2000,504.7300,38589814
2025-04-07,485.1000,539.3700,481.9000,516.2500,36606136
2025-04-08,543.2500,547.4300,502.8600,510.4500,28034211
2025-04-09,509.2650,587.8900,502.1100,585.7700,39216578
2025-04-10,575.4900,581.3000,535.3000,546.2900,28173491
2025-04-11,535.5050,547.4000,528.5901,543.5700,17642327
2025-04-14,556.1750,557.7700,528.2800,531.4800,14130928
2025-04-15,532.1050,537.9400,517.5000,521.5200,15558659
2025-04-16,508.5100,513.3700,495.6300,502.3100,18735075
2025-04-17,505.2500,507.3000,498.0133,501.4800,14593508
2025-04-21,491.3250,493.5000,479.8000,484.6600,16165982
2025-04-22,491.8700,506.8800,486.3600,500.2800,17399408
2025-04-23,528.5250,535.3376,516.5200,520.2700,18173910
2025-04-24,518.7300,533.9000,517.5000,533.1500,13910011
2025-04-25,546.8000,549.8600,536.2500,547.2700,17098921
2025-04-28,555.6400,558.4899,540.5900,549.7400,15178995
2025-04-29,546.0000,556.5699,544.1200,554.4400,11835036
2025-04-30,538.4000,549.1000,529.5000,549.0000,29243971
2025-05-01,592.0750,592.9500,570.5000,572.2100,31159033
2025-05-02,583.4550,604.3400,578.3300,597.0200,24739260
2025-05-05,591.2200,603.2100,588.0500,599.2700,13887724
2025-05-06,592.5250,596.0300,586.5800,587.3100,10600650
2025-05-07,590.3600,603.0750,586.6700,596.8100,13160976
2025-05-08,606.2850,611.2959,596.6200,598.0100,14622805
2025-05-09,603.7200,606.9700,591.7062,592.4900,10427286
2025-05-12,630.9200,640.3896,621.0300,639.4300,21965085
2025-05-13,645.5450,660.9200,642.8300,656.0300,18570821
2025-05-14,661.2100,662.6700,654.3100,659.3600,12348179
2025-05-15,654.2750,657.3100,638.5800,643.8800,14341835
2025-05-16,637.9550,640.4400,626.1500,640.3400,18518972
2025-05-19,628.2500,643.0000,627.8000,640.4300,9592374
2025-05-20,636.0100,639.3536,632.2600,637.1000,6743473
2025-05-21,631.7900,646.6100,630.1700,635.5000,11464569
2025-05-22,634.0500,643.2500,630.7100,636.5700,8228443
2025-05-23,624.0000,632.4450,622.6500,627.0600,8454067
2025-05-27,635.4100,643.0800,632.7500,642.3200,9508367
2025-05-28,642.6000,650.8800,642.5472,643.5800,9042874
2025-05-29,651.6450,653.3200,639.5000,645.0500,8883436
2025-05-30,642.5000,649.4099,632.7800,647.4900,16240951
2025-06-02,644.3900,673.2600,644.2616,670.9000,15766258
2025-06-03,671.4450,675.5800,665.0300,666.8500,11585031
2025-06-04,669.3200,689.0000,668.5700,687.9500,14031931
2025-06-05,691.6600,694.3800,682.2500,684.6200,13120335
2025-06-06,696.1700,702.8060,691.8700,697.7100,11727961
2025-06-09,698.4600,705.1900,693.9400,694.0600,12773221
2025-06-10,701.3450,703.2300,691.5600,702.4000,10850146
2025-06-11,703.7050,708.8707,691.9900,694.1400,9582508
2025-06-12,693.3000,695.3800,687.0000,693.3600,7322730
2025-06-13,687.9500,694.5700,681.0100,682.8700,9274441
2025-06-16,699.3300,707.1500,693.5103,702.1200,13720288
2025-06-17,702.0000,705.9700,696.0600,697.2300,10066110
2025-06-18,698.1800,701.5900,694.9000,695.7700,10068255
2025-06-20,700.7500,701.8197,678.6700,682.3500,22538640
2025-06-23,683.6900,699.0500,678.7500,698.5300,11080055
2025-06-24,704.8850,713.1900,702.1100,712.2000,13823180
2025-06-25,713.3150,716.5800,705.3800,708.6800,9320436
2025-06-26,714.3550,728.2200,711.0500,726.0900,13964793
2025-06-27,726.5150,735.4300,725.8600,733.6300,18775735
2025-06-30,744.5500,747.9000,734.2500,738.0900,15402105
2025-07-01,736.8750,737.7499,715.3700,719.2200,13431248
2025-07-02,715.3250,720.3000,712.8000,713.5700,9336740
2025-07-03,726.6100,729.0300,714.4200,719.0100,8601653
2025-07-07,717.6000,727.0000,713.5100,718.3500,9457080
