,open,high,low,close,volume
2025-02-11,409.6400,412.4900,409.3000,411.4400,18140592
2025-02-12,407.2100,410.7500,404.3673,409.0400,19121734
2025-02-13,407.0000,411.0000,406.3600,410.5400,23891731
2025-02-14,407.7900,408.9100,405.8800,408.4300,22758464
2025-02-18,408.0000,410.5970,406.5000,409.6400,21423051
2025-02-19,407.8800,415.4900,407.6500,414.7700,24114197
2025-02-20,415.2900,419.3100,412.5400,416.1300,23508728
2025-02-21,417.3350,418.0480,407.8900,408.2100,27524799
2025-02-24,408.5100,409.3700,399.3200,404.0000,26443656
2025-02-25,401.1000,401.9150,396.7000,397.9000,29387402
2025-02-26,398.0100,403.6000,394.2450,399.7300,19618954
2025-02-27,401.2650,405.7400,392.1700,392.5300,21127406
2025-02-28,392.6550,397.6300,386.5700,396.9900,32845658
2025-03-03,398.8200,398.8200,386.1550,388.4900,23007726
2025-03-04,383.4000,392.5800,381.0000,388.6100,29342923
2025-03-05,389.3400,401.6700,388.8100,401.0200,23433132
2025-03-06,394.2800,402.1500,392.6777,396.8900,23304625
2025-03-07,392.3200,394.8000,385.5400,393.3100,22034087
2025-03-10,385.8400,386.4000,377.2200,380.1600,32569768
2025-03-11,379.0000,386.0000,376.9100,380.4500,30380177
2025-03-12,382.9500,385.2165,378.9507,383.2700,24253567
2025-03-13,383.1550,385.3200,377.4500,378.7700,20473017
2025-03-14,379.7750,390.2300,379.5100,388.5600,19952846
2025-03-17,386.7000,392.7050,385.5700,388.7000,22474272
2025-03-18,387.0700,387.3700,381.1000,383.5200,19486850
2025-03-19,385.5250,389.6800,384.0000,387.8200,19185532
2025-03-20,385.7350,391.7850,383.2800,386.8400,18470542
2025-03-21,383.2150,391.7400,382.8000,391.2600,39675928
2025-03-24,395.4000,395.4000,389.8100,393.0800,21004548
2025-03-25,393.9150,396.3600,392.6400,395.1600,15774968
2025-03-26,395.0000,395.3100,388.5700,389.9700,16132906
2025-03-27,390.1300,392.2400,387.3950,390.5800,13766761
2025-03-28,388.0800,389.1300,376.9300,378.8000,21632016
2025-03-31,372.5350,377.0700,367.2400,375.3900,35184676
2025-04-01,374.6500,382.8500,373.2300,382.1900,19689503
2025-04-02,377.9650,385.0800,376.6200,382.1400,16092555
2025-04-03,374.7850,377.4800,369.3500,373.1100,30197997
2025-04-04,364.1250,374.5900,359.4800,359.8400,49209854
2025-04-07,350.8800,370.9999,344.7900,357.8600,50424998
2025-04-08,368.2550,373.6500,350.2500,354.5600,35868918
2025-04-09,353.5350,393.2250,353.1000,390.4900,50199696
2025-04-10,382.0600,383.9000,367.8000,381.3500,38024368
2025-04-11,380.6350,390.0500,378.8900,388.4500,23839220
2025-04-14,393.2200,394.6500,384.2100,387.8100,19251172
2025-04-15,388.5050,391.8900,384.1599,385.7300,17199890
2025-04-16,380.6700,381.6100,368.0000,371.6100,21967826
2025-04-17,373.7450,374.3215,366.8900,367.7800,21120192
2025-04-21,362.8150,364.4800,355.6700,359.1200,20807279
2025-04-22,363.3750,367.7700,359.8602,366.8200,19484993
2025-04-23,376.0600,380.3900,373.0200,374.3900,20545526
2025-04-24,375.6950,388.4500,375.1900,387.3000,22232289
2025-04-25,387.0000,392.1600,384.6000,391.8500,18973165
2025-04-28,391.9550,392.7400,386.6380,391.1600,16579430
2025-04-29,391.3000,395.1000,390.3800,394.0400,14973976
2025-04-30,390.3000,396.6600,384.4400,395.2600,36461075
2025-05-01,431.1100,436.9900,424.9000,425.4000,58938100
2025-05-02,431.7400,439.4400,429.9850,435.2800,30757434
2025-05-05,432.8700,439.5000,432.1100,436.1700,20136053
2025-05-06,432.2000,437.7300,431.1700,433.3100,15104204
2025-05-07,433.8400,438.1200,431.1103,433.3500,23307241
2025-05-08,437.9300,443.6700,435.6600,438.1700,23491330
2025-05-09,440.0000,440.7400,435.8800,438.7300,15324233
2025-05-12,445.9400,449.3700,439.7800,449.2600,22821935
2025-05-13,447.7800,450.6733,445.3600,449.1400,23618819
2025-05-14,448.1400,453.9000,448.1400,452.9400,19902796
2025-05-15,450.7650,456.1900,450.4301,453.1300,21992323
2025-05-16,452.0500,454.3600,448.7300,454.2700,23849781
2025-05-19,450.8750,459.5850,450.8000,458.8700,21336509
