,open,high,low,close,volume
2024-06-21,177.0000,180.8500,176.6100,179.6300,58582743
2024-06-24,180.1600,180.8900,178.6700,179.2200,18298012
2024-06-25,179.6200,184.2900,179.4200,184.0300,23235589
2024-06-26,182.6300,184.5100,182.4800,183.8800,19838972
2024-06-27,184.1800,186.0500,184.0200,185.4100,18848884
2024-06-28,184.3200,185.1300,181.9600,182.1500,29156644
2024-07-01,183.0300,183.8800,181.3000,182.9900,16006128
2024-07-02,182.0500,185.5700,181.5600,185.2400,17372485
2024-07-03,184.8500,186.0900,184.0000,185.8200,10242126
2024-07-05,185.8550,190.8600,185.8000,190.6000,20967450
2024-07-08,189.8950,190.1700,187.7800,189.0300,21035886
2024-07-09,190.3100,191.3600,188.7200,188.9800,15141312
2024-07-10,189.1500,191.7500,189.0300,191.1800,15952454
2024-07-11,189.8450,190.8600,185.0800,185.5700,25625784
2024-07-12,185.0800,187.1100,184.4900,185.0700,22898406
2024-07-15,184.9200,188.2400,184.9200,186.5300,16474043
2024-07-16,187.3600,188.6800,183.3736,183.9200,18290722
2024-07-17,182.9650,183.5500,179.9000,181.0200,20734071
2024-07-18,181.9300,182.5000,176.4700,177.6900,25315727
2024-07-19,178.8800,180.2900,177.1300,177.6600,18881885
2024-07-22,180.5900,182.7000,180.2300,181.6700,24100345
2024-07-23,182.0500,183.6100,181.5400,181.7900,36352714
2024-07-24,173.6000,176.1900,171.8200,172.6300,49585203
2024-07-25,172.5200,173.4200,167.1900,167.2800,44851973
2024-07-26,167.1500,168.0900,164.0600,167.0000,41336886
2024-07-29,168.8300,170.4300,167.9900,169.5300,20293822
2024-07-30,170.2400,171.2299,168.4400,170.2900,18959686
2024-07-31,173.2400,174.2450,170.0100,171.5400,25729090
2024-08-01,170.2500,174.0500,168.8800,170.7600,24531392
2024-08-02,166.4400,168.5100,164.6700,166.6600,29130102
2024-08-05,155.5000,164.4300,154.9300,159.2500,53630673
2024-08-06,159.3300,160.5700,156.4100,158.2900,49004561
2024-08-07,161.2500,162.9800,158.4700,158.9400,25138573
2024-08-08,160.5100,163.6900,160.2100,162.0300,25578839
2024-08-09,160.0100,163.7900,159.0600,163.6700,28602285
2024-08-12,164.3500,164.9000,161.8400,162.2900,15895286
2024-08-13,163.4100,164.7300,162.9700,164.1600,18551690
2024-08-14,162.4000,163.2200,157.7100,160.3700,40591126
