,open,high,low,close,volume
2024-06-21,503.4500,503.4500,492.3900,494.7800,23130732
2024-06-24,499.2000,507.8000,494.2900,498.9100,13525278
2024-06-25,497.0500,510.7100,495.5000,510.6000,12109769
2024-06-26,506.6450,513.8100,504.6765,513.1200,8882337
2024-06-27,514.2500,522.8799,513.9000,519.5600,10121199
2024-06-28,517.1500,521.8800,503.8400,504.2200,15855137
2024-07-01,504.9500,506.5800,493.1700,504.6800,10328150
2024-07-02,500.7600,510.5000,499.4500,509.5000,7739479
2024-07-03,506.3700,511.2800,506.0200,509.9600,6005615
2024-07-05,511.6000,540.8700,511.6000,539.9100,21354093
2024-07-08,542.3500,542.8100,526.6500,529.3200,14917495
2024-07-09,533.7500,537.4800,528.1901,530.0000,8769088
2024-07-10,530.7900,538.8800,528.3600,534.6900,10983276
2024-07-11,530.8900,535.4600,508.3733,512.7000,16458253
2024-07-12,497.7550,508.0900,494.2300,498.8700,19750544
2024-07-15,498.6300,506.6799,493.3700,496.1600,12539163
2024-07-16,501.5000,503.9499,485.7900,489.7900,14075833
2024-07-17,479.1700,479.1700,459.1200,461.9900,28076595
2024-07-18,475.0000,479.2393,464.5400,475.8500,19267160
2024-07-19,476.0600,486.7100,475.7100,476.7900,15149416
2024-07-22,486.5750,492.0600,483.9000,487.4000,12023088
2024-07-23,489.8400,495.2200,487.7200,488.6900,9455527
2024-07-24,472.3050,476.3000,460.5800,461.2700,17649738
2024-07-25,463.2600,463.5480,442.6500,453.4100,18240489
2024-07-26,464.1950,469.7700,459.4200,465.7000,14222388
2024-07-29,469.8800,473.9600,465.0200,465.7100,11339630
2024-07-30,467.0000,472.7300,456.7000,463.1900,11390439
2024-07-31,471.0200,476.5000,466.7500,474.8300,24285777
2024-08-01,521.0000,527.1709,492.1000,497.7400,43083082
2024-08-02,489.0000,501.1450,476.1500,488.1400,24044658
2024-08-05,451.3450,483.4800,450.8000,475.7300,21396191
2024-08-06,479.0000,502.5600,478.6500,494.0900,20954959
2024-08-07,503.1300,510.1500,486.8600,488.9200,20105307
2024-08-08,497.5000,509.9600,494.7200,509.6300,16156843
2024-08-09,507.7100,518.3400,505.7000,517.7700,13696640
2024-08-12,516.8600,518.0200,509.1000,515.9500,9767422
2024-08-13,520.0100,531.4999,518.1500,528.5400,13743839
2024-08-14,528.0600,534.0000,523.1300,526.7600,11444189
2024-08-15,531.7900,539.7700,526.7000,537.3300,13482141
