,open,high,low,close,volume
2024-06-21,127.1200,130.6300,124.3000,126.5700,655484664
2024-06-24,123.2400,124.4600,118.0400,118.1100,476060866
2024-06-25,121.2000,126.5000,119.3200,126.0900,425787456
2024-06-26,126.1300,128.1200,122.6000,126.4000,362975918
2024-06-27,124.1000,126.4100,122.9200,123.9900,252571693
2024-06-28,124.5800,127.7100,122.7500,123.5400,315516740
2024-07-01,123.4700,124.8400,118.8300,124.3000,284885534
2024-07-02,121.1300,123.4100,121.0300,122.6700,218373969
2024-07-03,121.6600,128.2800,121.3600,128.2800,215748955
2024-07-05,127.3800,128.8500,125.6800,125.8300,214176689
2024-07-08,127.4900,130.7700,127.0400,128.2000,237677322
2024-07-09,130.3500,133.8200,128.6500,131.3800,287020820
2024-07-10,134.0300,135.1000,132.4200,134.9100,248978569
2024-07-11,135.7500,136.1500,127.0500,127.4000,374782738
2024-07-12,128.2600,131.9200,127.2200,129.2400,252680535
2024-07-15,130.5600,131.3900,127.1800,128.4400,208326164
2024-07-16,128.4400,129.0400,124.5800,126.3600,214769515
2024-07-17,121.3500,121.8500,116.7200,117.9900,390086189
2024-07-18,121.8500,122.4000,116.5600,121.0900,320979530
2024-07-19,120.3500,121.6000,117.3700,117.9300,217223800
2024-07-22,120.3500,124.0700,119.8600,123.5400,258068943
2024-07-23,122.7800,124.6900,122.1000,122.5900,173910983
2024-07-24,119.1700,119.9500,113.4400,114.2500,327776884
2024-07-25,113.0400,116.6300,106.3000,112.2800,460067019
2024-07-26,116.1900,116.2000,111.5800,113.0600,293399073
2024-07-29,113.6900,116.2800,111.3000,111.5900,248152068
2024-07-30,111.5200,111.9900,102.5400,103.7300,486833274
2024-07-31,112.9000,118.3400,110.8800,117.0200,473174182
2024-08-01,117.5300,120.1600,106.8104,109.2100,523462326
2024-08-02,103.7600,108.7200,101.3700,107.2700,482027464
2024-08-05,92.0600,103.4100,90.6900,100.4500,552842375
2024-08-06,103.8400,107.7100,100.5500,104.2500,409012089
2024-08-07,107.8100,108.8000,98.6900,98.9100,411440423
2024-08-08,102.0000,105.5000,97.5200,104.9700,391910023
2024-08-09,105.6400,106.6000,103.4300,104.7500,290844157
2024-08-12,106.3200,111.0700,106.2600,109.0200,325559870
2024-08-13,112.4400,116.2300,111.5800,116.1400,312646660
2024-08-14,118.5300,118.6000,114.0700,118.0800,339246407
2024-08-15,118.7600,123.2400,117.4700,122.8600,318086673
2024-08-16,121.9400,125.0000,121.1800,124.5800,302589872
2024-08-19,124.2800,130.0000,123.4200,130.0000,318333577
2024-08-20,128.4000,129.8800,125.8900,127.2500,300087415
2024-08-21,127.3150,129.3500,126.6600,128.5000,257883572
2024-08-22,130.0200,130.7500,123.1000,123.7400,376189076
2024-08-23,125.8600,129.6000,125.2200,129.3700,323230332
2024-08-26,129.5700,131.2600,124.3700,126.4600,331964672
2024-08-27,125.0500,129.2000,123.8800,128.3000,303134573
2024-08-28,128.1200,128.3300,122.6400,125.6100,448101115
2024-08-29,121.3550,124.4300,116.7100,117.5900,453023305
2024-08-30,119.5300,121.7500,117.2200,119.3700,333751583
2024-09-03,116.0100,116.2100,107.2900,108.0000,477155100
2024-09-04,105.4100,113.2700,104.1200,106.2100,368378810
2024-09-05,104.9850,109.6500,104.7600,107.2100,306850696
2024-09-06,108.0400,108.1500,100.9500,102.8300,413638098
2024-09-09,104.8800,106.5500,103.6900,106.4700,273912015
2024-09-10,107.8100,109.4000,104.9500,108.1000,268283736
2024-09-11,109.3900,117.1900,107.4200,116.9100,441422370
2024-09-12,116.8400,120.7900,115.3800,119.1400,367100496
2024-09-13,119.0800,119.9550,117.6000,119.1000,238358328
2024-09-16,116.7900,118.1800,114.3600,116.7800,248772308
2024-09-17,118.1700,118.8000,114.8300,115.5900,231925876
2024-09-18,115.8900,117.7000,113.2200,113.3700,310318937
2024-09-19,117.3500,119.6600,117.2500,117.8700,293506438
2024-09-20,117.0600,118.6181,115.3901,116.0000,382462428
2024-09-23,116.5500,116.9900,114.8600,116.2600,206228490
2024-09-24,116.5150,121.8000,115.3800,120.8700,354966772
2024-09-25,122.0200,124.9400,121.6100,123.5100,284692948
2024-09-26,126.8000,127.6650,121.8000,124.0400,302582868
2024-09-27,123.9700,124.0300,119.2600,121.4000,271009175
2024-09-30,118.3100,121.5000,118.1500,121.4400,227053651
2024-10-01,121.7650,122.4351,115.7900,117.0000,302094485
2024-10-02,116.4400,119.3800,115.1400,118.8500,221845887
2024-10-03,120.9200,124.3600,120.3401,122.8500,277117973
2024-10-04,124.9400,125.0400,121.8300,124.9200,244465552
2024-10-07,124.9900,130.6400,124.9500,127.7200,346250233
2024-10-08,130.2600,133.4800,129.4200,132.8900,285722485
2024-10-09,134.1100,134.5200,131.3800,132.6500,246191612
2024-10-10,131.9100,135.0000,131.0000,134.8100,242311337
2024-10-11,134.0100,135.7800,133.6600,134.8000,170209474
2024-10-14,136.4700,139.6000,136.3000,138.0700,232347668
2024-10-15,137.8700,138.5700,128.7400,131.6000,377831021
2024-10-16,133.9800,136.6200,131.5800,135.7200,264879720
2024-10-17,139.3400,140.8900,136.8700,136.9300,306435921
2024-10-18,138.6650,138.9000,137.2800,138.0000,176090184
2024-10-21,138.1300,143.7100,138.0000,143.7100,264554514
2024-10-22,142.9100,144.4200,141.7800,143.5900,226311589
2024-10-23,142.0300,142.4300,137.4600,139.5600,285930038
2024-10-24,140.8200,141.3500,138.4600,140.4100,172354888
